Precip_amount,Precip_days,Pressure_mean,Sweden_pressure,Ireland_pressure,Portugal_pressure,Greece_pressure,Temperature_max,Temperature_min,Temperature_SAT,Year,Wheat (tonnes per hectare),Rice (tonnes per hectare),Maize (tonnes per hectare),Soybeans (tonnes per hectare),Potatoes (tonnes per hectare),Beans (tonnes per hectare),Peas (tonnes per hectare),Cassava (tonnes per hectare),Barley (tonnes per hectare),Cocoa beans (tonnes per hectare),Bananas (tonnes per hectare),Nitrogen fertilizer use (kilograms per hectare),Tractors per 100 sq km arable land,Total population (Gapminder),Entity,Land used for cereal (hectares),Cereal production (tonnes),Cereal yield (tonnes per hectare)
425.3789,65.0,1018.7015,1002.4617,995.2163,1013.98834,949.8531,27.275858,-15.304141,845.00995,1961,2.5802,,3.8605,,19.7806,1.7009,1.8903,,2.7262,,,,792.02486678508,7111000.0,Austria,902089.0,2274011.0,2.5208
501.13022,68.0,1017.28485,1003.0416,997.2544,1012.5315,947.95013,28.063019,-14.946771,621.2998,1962,2.6122,,3.5620000000000003,,19.0451,1.5083,1.7528,,2.883,,,,879.167162403331,7157000.0,Austria,897794.0,2305937.0,2.5684
384.66458,66.0,1016.0173,1009.54596,993.7461,1009.40594,946.6434,28.679087,-22.55578,756.9133,1963,2.5099,,3.9033,,21.778,1.7978,2.0323,,2.6952000000000003,,,,987.3128019323669,7206000.0,Austria,888269.0,2229471.0,2.5099
386.8375,60.0,1019.39996,1008.3442,996.3119,1011.7181,950.0857,26.536978,-16.837786,835.87177,1964,2.6524,,4.2359,,21.8247,1.8973,2.0629,,2.6638,,,,1073.65117682559,7256000.0,Austria,896099.0,2349312.0,2.6217
633.9482,83.0,1015.6336,1004.8914,996.1179,1012.11725,947.29913,28.234116,-16.667448,599.8925,1965,2.3969,,3.7315,,17.5672,1.8369,1.9533,,2.3758,,,,1155.00602409639,7305000.0,Austria,866741.0,2019628.0,2.3301000000000003
460.98022,68.0,1015.59875,1007.2666,990.89276,1011.4218,947.2702,26.088776,-18.981926,812.243,1966,2.8581000000000003,,4.9644,,22.0157,1.8747,2.198,,3.0696000000000003,,,,1275.7116336633699,7352000.0,Austria,900828.0,2648957.0,2.9406000000000003
450.9034,66.0,1018.191,1002.9518,995.5236,1013.3896,949.63763,28.97789,-17.709036,710.7282,1967,3.3049,,5.2490000000000006,,22.7819,2.0208,2.3269,,3.3328,,,,1361.64375,7397000.0,Austria,902756.0,2934871.0,3.2510000000000003
374.88647,60.0,1016.43146,1002.37256,995.3695,1011.64386,948.65576,26.515833,-20.366302,834.0171,1968,3.4175,,5.4118,,26.6661,2.1212,2.1856,,3.2298,,,,1432.2860712054999,7440000.0,Austria,911199.0,3046205.0,3.3431
418.47473,67.0,1014.8312,1009.1595,992.91064,1009.1842,947.13306,27.473852,-17.221563,776.8035,1969,3.3172,,5.9578000000000015,,26.1215,1.9859,2.2762,,3.4097,,,,1510.95268138801,7479000.0,Austria,957929.0,3406075.0,3.5557000000000003
456.70493,77.0,1014.31134,1005.2907,993.6724,1011.54816,947.11945,26.482994,-16.734087,656.1048,1970,2.9445,,4.9349,,24.5978,2.0628,2.2918000000000003,,3.1468000000000003,,,,1569.8612862547302,7516000.0,Austria,961847.0,3070552.0,3.1923000000000004
336.32736,60.0,1015.1857,1005.41516,993.5833,1009.8602,951.60925,25.169296,-19.793306,737.67267,1971,3.5577,,5.7700000000000005,,25.7972,1.9731,2.221,,3.4475,,,,1630.01890359168,7550000.0,Austria,969719.0,3545643.0,3.6564
435.28125,65.0,1015.46594,1008.9625,990.54614,1010.3979,952.9604,24.534895,-12.534557,679.2978,1972,3.1461,,5.48,,23.195500000000006,2.2099,2.4129,,3.2998000000000003,,,,1690.51007556675,7581000.0,Austria,975268.0,3318492.0,3.4026
386.775,59.0,1019.0379,1004.2816,999.7212,1014.9953,953.4975,26.009323,-13.535832,701.5472,1973,3.5268,,6.57,,25.139000000000006,2.246,2.5208,,3.4189000000000003,,,,1833.7582562747698,7607000.0,Austria,982257.0,3787094.0,3.8555
381.49243,59.0,1015.86115,1008.0068,992.5397,1012.0356,952.8102,23.924896,-7.426041,658.84686,1974,4.0938,,5.7601,,24.2553,2.194,2.6047,,3.8774,,,,1878.5601056803198,7626000.0,Austria,986019.0,4014005.0,4.0709
443.556,64.0,1017.5272,1004.4473,997.2301,1013.1949,953.04803,25.999298,-10.944636,694.38184,1975,3.5063,,6.82,,22.8461,,2.6144000000000003,,3.1896,,,,1919.25876902713,7638000.0,Austria,987058.0,3704116.0,3.7527
307.3508,50.0,1018.7794,1006.5954,997.89526,1013.53094,953.31036,26.472864,-15.19625,747.41486,1976,4.2634,,5.86,,23.8163,,2.6316,,3.9647,,,,1934.2105263157898,7641000.0,Austria,1024869.0,4277716.0,4.1739000000000015
459.32602,68.0,1015.8587,1004.80664,992.7925,1013.3432,953.5784,26.982916,-13.613334,747.1997,1977,3.7588,,6.98,,22.4633,,2.75,,3.6889,,,,2012.0143884892102,7637000.0,Austria,1026231.0,4203640.0,4.0962000000000005
384.42944,66.0,1013.9859,1005.66125,992.19324,1012.4781,950.2295,24.1719,-17.23039,605.3869,1978,4.1771,,6.5600000000000005,,24.6194,,2.75,,4.0047000000000015,,,,2023.27084680026,7628000.0,Austria,1053361.0,4628713.0,4.3942000000000005
480.28308,66.0,1014.69775,1004.79504,992.6287,1012.1418,951.2298,26.76625,-17.968645,741.2324,1979,3.1457,,7.17,,25.7323,,2.8000000000000003,,3.0244,,,,2087.32764281024,7618000.0,Austria,1067918.0,3982485.0,3.7292
378.91928,71.0,1016.3818,1009.18555,995.6324,1012.76917,947.1038,27.92737,-15.656772,534.7622,1980,4.4673,,6.7,,24.043100000000006,,2.807,,4.0504,,,,2083.984375,7610000.0,Austria,1068780.0,4826198.0,4.5156
337.41016,57.0,1017.2199,1004.3505,995.37085,1014.2222,952.87726,27.885702,-18.52013,831.2427,1981,3.737,,7.27,,26.386100000000006,,2.8000000000000003,,3.3678000000000003,,,,2080.6972240154896,7605000.0,Austria,1050430.0,4356211.0,4.1471
374.36404,57.0,1019.69336,1005.6915,995.5397,1013.7729,955.2457,26.164663,-17.582628,707.32025,1982,4.2767,,7.85,,24.5472,,2.8049,,4.2276,,,,2124.16938110749,7602000.0,Austria,1051744.0,5026041.0,4.7788
420.91324,66.0,1017.581,1002.43835,995.5956,1014.69354,955.2337,26.375076,-16.64836,810.9221,1983,4.53,,6.99,,24.9177,,2.9053,,4.2596,,,,2265.87908269632,7603000.0,Austria,1067296.0,5075517.0,4.7555000000000005
407.5026,69.0,1015.9383,1007.24,996.6241,1012.39343,956.45844,25.116508,-14.863437,587.6331,1984,4.7632,,7.46,,27.5422,,3.0093,,4.6168000000000005,,,,2256.47058823529,7607000.0,Austria,1051447.0,5353319.0,5.0914
465.11252,72.0,1015.7805,1007.5648,994.49963,1010.9842,952.8194,24.91276,-24.420547,680.18915,1985,4.8862000000000005,,8.31,,27.6305,,3.5,,4.553999999999999,,,,2251.7955801105,7615000.0,Austria,1053466.0,5551181.0,5.2694
