Precip_amount,Precip_days,Pressure_mean,Sweden_pressure,Ireland_pressure,Portugal_pressure,Greece_pressure,Temperature_max,Temperature_min,Temperature_SAT,Year,Wheat (tonnes per hectare),Rice (tonnes per hectare),Maize (tonnes per hectare),Soybeans (tonnes per hectare),Potatoes (tonnes per hectare),Beans (tonnes per hectare),Peas (tonnes per hectare),Cassava (tonnes per hectare),Barley (tonnes per hectare),Cocoa beans (tonnes per hectare),Bananas (tonnes per hectare),Nitrogen fertilizer use (kilograms per hectare),Tractors per 100 sq km arable land,Total population (Gapminder),Entity,Land used for cereal (hectares),Cereal production (tonnes),Cereal yield (tonnes per hectare)
324.96146,57.0,1007.24774,1002.4617,995.2163,1013.98834,949.8531,29.821554,-4.9081664,1324.6831,1961,2.395,4.0512000000000015,2.5291,,16.0992,0.9076,1.9,,2.396,,,,379.169641946343,46267000.0,France,9140300.0,20802475.0,2.2759
341.88852,59.0,1006.49133,1003.0416,997.2544,1012.5315,947.95013,28.480244,-7.935432,934.0145,1962,3.0752,4.1875,2.1489000000000003,,15.5289,0.8428,2.4239,,2.7581,,,,411.898617511521,46907000.0,France,9408120.0,25305105.0,2.6897
380.9848,66.0,1003.21857,1009.54596,993.7461,1009.40594,946.6434,28.037626,-14.937401,1046.3246,1963,2.6624000000000003,3.9753,4.0593,,18.9265,1.084,2.2292,,2.9088000000000003,,,,445.991261886405,47561000.0,France,9159745.0,25367307.0,2.7694
326.6119,56.0,1006.48865,1008.3442,996.3119,1011.7181,950.0857,29.806044,-8.088913,1224.4973,1964,3.1534,4.061,2.3546,,16.736900000000002,0.9134,2.2645,,2.8774,,,,499.380438201069,48184000.0,France,9226542.0,26050470.0,2.8234000000000004
350.52078,66.0,1013.66675,1004.8914,996.1179,1012.11725,947.29913,28.755009,-8.207911,1088.6343,1965,3.2655000000000003,3.2935000000000003,3.98,,19.5147,1.05,2.1996,,3.0363,,,,530.124494573314,48747000.0,France,9377274.0,29130754.0,3.1065
410.4066,71.0,1010.90375,1007.2666,990.89276,1011.4218,947.2702,28.055168,-13.436562,1284.2964,1966,2.8296,3.6562,4.5037,,19.7618,1.3729,2.2675,,2.8093000000000004,,,,569.340302226074,49233000.0,France,9194306.0,26737646.0,2.9081
296.0533,56.0,1006.9137,1002.9518,995.5236,1013.3896,949.63763,28.479153,-10.375815,1036.3142,1967,3.6365,4.3027000000000015,4.088,,20.19,1.0112,2.5457,,3.5037000000000003,,,,612.255476875415,49651000.0,France,9303635.0,32345675.0,3.4767
384.5186,68.0,1001.7369,1002.37256,995.3695,1011.64386,948.65576,28.142258,-9.456345,1042.6494,1968,3.6641,3.4635,5.2643,,21.3276,1.3405,2.397,,3.2861,,,,670.491495534445,50025000.0,France,9307842.0,33237542.0,3.5709
413.14612,72.0,1006.93054,1009.1595,992.91064,1009.1842,947.13306,27.8809,-9.861118,1085.4683,1969,3.5809,4.1631,4.8346,,21.5372,1.1518000000000002,2.766,,3.3067,,,,688.3079988613721,50387000.0,France,9375548.0,33115628.0,3.5321
443.14484,81.0,1010.2548,1005.2907,993.6724,1011.54816,947.11945,27.996424,-8.693648,1072.1575,1970,3.4223000000000003,4.2177,5.0994,,22.218400000000006,1.3197,3.4089,,2.7772,,,,706.321410116553,50764000.0,France,9318100.0,31443420.0,3.3744
414.03763,68.0,1009.46515,1005.41516,993.5833,1009.8602,951.60925,25.927574,-13.207784,1084.5961,1971,3.8614,3.7876,5.415100000000002,,24.8773,1.2921,3.3937000000000004,,3.3541000000000003,,,,749.1791744840531,51163000.0,France,9544110.0,36988610.0,3.8755
401.22928,73.0,1008.90094,1008.9625,990.54614,1010.3979,952.9604,26.083069,-8.376198,962.65314,1972,4.5698,2.3156000000000003,4.3531,,23.8771,1.2724,2.9667000000000003,,3.9111,,,,767.6631232747991,51573000.0,France,9710900.0,40481820.0,4.1687
292.5532,53.0,1014.8477,1004.2816,999.7212,1014.9953,953.4975,28.924908,-6.574422,994.60315,1973,4.5067,4.3604,5.6217000000000015,2.2585,23.1415,1.5989,3.2401,,3.9117,,,,772.695367337389,51980000.0,France,9768200.0,43053408.0,4.4075000000000015
376.24316,66.0,1010.3146,1008.0068,992.5397,1012.0356,952.8102,27.585432,-4.4235144,1123.2362,1974,4.5844000000000005,3.3966000000000003,4.5587,1.2512,23.8733,1.2028,3.6289,,3.703,,,,773.932168075009,52357000.0,France,9827100.0,41069978.0,4.1793000000000005
355.079,66.0,1011.2968,1004.4473,997.2301,1013.1949,953.04803,27.507574,-4.400699,1013.11487,1975,3.8734,4.1569,4.184,1.9699,23.0688,1.1688,3.6321,,3.3731,,,,786.392430623666,52689000.0,France,9666100.0,35731890.0,3.6966
184.36122,40.0,1014.00885,1006.5954,997.89526,1013.53094,953.31036,32.926765,-7.8013315,1167.9581,1976,3.7722,3.8974,4.0305,1.6368,15.3786,0.8974000000000001,1.8167,,3.0683,,,,801.120775202849,52969000.0,France,9512100.0,32729070.0,3.4408000000000003
515.0369,87.0,1009.7931,1004.80664,992.7925,1013.3432,953.5784,25.511791,-5.6355777,1058.2833,1977,4.2303000000000015,2.1721,5.2382,1.9067,26.141,1.7142000000000002,4.2628,,3.5250000000000004,,,,810.578627280626,53209000.0,France,9704305.0,39316140.0,4.0514
498.79434,86.0,1008.6343,1005.66125,992.19324,1012.4781,950.2295,26.611963,-7.971655,972.5121,1978,5.0323,3.2558,5.2862,1.4938,26.9261,1.7615,3.5089,,4.0231,,,,814.268426208725,53423000.0,France,9816421.0,45454526.0,4.6305000000000005
491.2776,85.0,1009.63165,1004.79504,992.6287,1012.1418,951.2298,27.061525,-10.622969,1022.82556,1979,4.782,4.3478,5.2195,1.3969999999999998,25.955,1.7368,4.3243,,3.995,,,,818.6311131544161,53637000.0,France,9802300.0,44266904.0,4.516
395.87387,71.0,1011.47144,1009.18555,995.6324,1012.76917,947.1038,27.078783,-8.412707,942.6851,1980,5.181,3.8333,5.3167,2.1176,28.924000000000003,1.6111,4.3684,,4.4171000000000005,,,,843.4065934065931,53868000.0,France,9893542.0,48024778.0,4.8542000000000005
