Precip_amount,Precip_days,Pressure_mean,Sweden_pressure,Ireland_pressure,Portugal_pressure,Greece_pressure,Temperature_max,Temperature_min,Temperature_SAT,Year,Wheat (tonnes per hectare),Rice (tonnes per hectare),Maize (tonnes per hectare),Soybeans (tonnes per hectare),Potatoes (tonnes per hectare),Beans (tonnes per hectare),Peas (tonnes per hectare),Cassava (tonnes per hectare),Barley (tonnes per hectare),Cocoa beans (tonnes per hectare),Bananas (tonnes per hectare),Nitrogen fertilizer use (kilograms per hectare),Tractors per 100 sq km arable land,Total population (Gapminder),Entity,Land used for cereal (hectares),Cereal production (tonnes),Cereal yield (tonnes per hectare)
408.80722,78.0,1012.6636,1002.4617,995.2163,1013.98834,949.8531,28.867697,-15.181596,945.4569,1961,2.8607,,2.8979,,18.059,1.8841,1.3891,,2.3640000000000003,,,,841.148936170213,73928000.0,Germany,7138919.0,17257340.0,2.4174
320.459,74.0,1011.8171,1003.0416,997.2544,1012.5315,947.95013,28.243282,-12.794514,689.4668,1962,3.3898,,3.2319,,22.508000000000006,2.0266,1.5287000000000002,,3.2451000000000003,,,,902.011489536315,74489000.0,Germany,7145685.0,21166661.0,2.9622
243.80809,56.0,1011.87775,1009.54596,993.7461,1009.40594,946.6434,27.389008,-21.933279,896.8176,1963,3.3934,,3.4526000000000003,,23.1439,2.117,1.1979,,3.0346,,,,957.1656391286481,75081000.0,Germany,7168885.0,20970320.0,2.9252
250.34085,57.0,1014.76843,1008.3442,996.3119,1011.7181,950.0857,30.94439,-15.146607,1026.9879,1964,3.4845,,3.3691,,20.9811,1.8701,1.3946,,3.3476000000000004,,,,1007.00024669024,75677000.0,Germany,7285822.0,22737326.0,3.1208
432.90875,85.0,1010.86523,1004.8914,996.1179,1012.11725,947.29913,27.001093,-14.974504,744.0975,1965,3.2321,,3.5354,,20.5188,2.5025,1.753,,2.9678,,,,1060.12671768288,76258000.0,Germany,7229500.0,20620142.0,2.8522000000000003
400.5523,78.0,1010.211,1007.2666,990.89276,1011.4218,947.2702,29.696535,-17.479927,1015.6471,1966,3.2325000000000004,,4.0115,,22.206,1.8991,1.5339,,2.9816000000000003,,,,1108.56190867956,76820000.0,Germany,7207233.0,20742474.0,2.878
350.26016,74.0,1012.47205,1002.9518,995.5236,1013.3896,949.63763,29.167023,-14.142985,806.5571,1967,4.0216,,4.6993,,25.3808,2.8316000000000003,1.8902,,3.5797000000000003,,,,1158.2745456054402,77357000.0,Germany,7286316.0,25380099.0,3.4833000000000003
343.5087,73.0,1011.1749,1002.37256,995.3695,1011.64386,948.65576,29.295336,-19.096764,948.82947,1968,4.2162000000000015,,4.8943,,23.91,2.7624,1.65,,3.6844,,,,1194.5287566489399,77847000.0,Germany,7431223.0,26898318.0,3.6196
366.53082,72.0,1009.94324,1009.1595,992.91064,1009.1842,947.13306,28.969955,-14.921941,854.8944,1969,3.8877,,4.875,,20.7995,2.2712000000000003,1.6261,,3.5487,,,,1237.91267394384,78261000.0,Germany,7499085.0,25853039.0,3.4475
414.30988,84.0,1008.8102,1005.2907,993.6724,1011.54816,947.11945,29.32834,-16.341478,856.111,1970,3.7264,,4.9743,,23.1893,2.5565,1.719,,3.1587,,,,1259.1741967871499,78578000.0,Germany,7470600.0,23753864.0,3.1796
