Precip_amount,Precip_days,Pressure_mean,Sweden_pressure,Ireland_pressure,Portugal_pressure,Greece_pressure,Temperature_max,Temperature_min,Temperature_SAT,Year,Wheat (tonnes per hectare),Rice (tonnes per hectare),Maize (tonnes per hectare),Soybeans (tonnes per hectare),Potatoes (tonnes per hectare),Beans (tonnes per hectare),Peas (tonnes per hectare),Cassava (tonnes per hectare),Barley (tonnes per hectare),Cocoa beans (tonnes per hectare),Bananas (tonnes per hectare),Nitrogen fertilizer use (kilograms per hectare),Tractors per 100 sq km arable land,Total population (Gapminder),Entity,Land used for cereal (hectares),Cereal production (tonnes),Cereal yield (tonnes per hectare)
312.1924,38.0,824.9679,1002.4617,995.2163,1013.98834,949.8531,30.44919,-4.5539646,1642.8204,1961,1.9103,5.677300000000002,3.2882,1.9167,10.3832,0.5124000000000001,0.6701,,1.269,,,,212.135748717151,50052000.0,Italy,6387203.0,13933400.0,2.1815
332.24994,42.0,823.0858,1003.0416,997.2544,1012.5315,947.95013,30.173197,-6.701055,1408.0195,1962,2.0847,5.5963,2.9129,1.7824,9.4531,0.4704,0.8211,,1.3616,,,,238.29073856975398,50442000.0,Italy,6485855.0,14433210.0,2.2253000000000003
466.2988,58.0,821.6294,1009.54596,993.7461,1009.40594,946.6434,29.791723,-9.947467,1418.8585,1963,1.8494,4.9035,3.2949,1.8214,11.3594,0.6283000000000001,0.8249000000000001,,1.3736000000000002,,,,267.14849297775004,50856000.0,Italy,6299467.0,13324660.0,2.1152
337.80374,42.0,824.8296,1008.3442,996.3119,1011.7181,950.0857,29.460579,-6.262708,1568.552,1964,1.9477,5.2168,3.6907,1.8333,10.744000000000002,0.6803,0.8661000000000001,,1.2798,,,,299.33878393395804,51273000.0,Italy,6244904.0,14007520.0,2.2430000000000003
357.37668,46.0,818.1153,1004.8914,996.1179,1012.11725,947.29913,31.465017,-6.36586,1379.8136,1965,2.2796000000000003,4.025,3.2278,1.8077,10.1908,0.5788,0.8912,,1.529,,,,335.310603641009,51677000.0,Italy,6056518.0,14531270.0,2.3993
332.77496,43.0,816.9444,1007.2666,990.89276,1011.4218,947.2702,29.604105,-7.9049897,1592.0149,1966,2.1992000000000003,4.687,3.5532000000000004,1.9455,11.114,0.6216,0.9303,,1.414,,,,370.37367405978796,52063000.0,Italy,5991218.0,14377630.0,2.3998
302.28406,37.0,817.50653,1002.9518,995.5236,1013.3896,949.63763,28.788496,-7.4051547,1448.7306,1967,2.3918,5.1823000000000015,3.7961,2.0455,11.8246,0.6827000000000001,0.9778,,1.6315000000000002,,,,411.03721042860604,52433000.0,Italy,5768719.0,15165050.0,2.6288
364.52332,47.0,816.0845,1002.37256,995.3695,1011.64386,948.65576,28.606966,-9.034104,1569.0536,1968,2.2559,4.1673,4.1261,1.9588,12.4119,0.7202000000000001,0.9305,,1.4722000000000002,,,,439.649279118743,52795000.0,Italy,5954460.0,15047330.0,2.5271
413.9704,51.0,814.2906,1009.1595,992.91064,1009.1842,947.13306,27.814734,-7.051416,1399.2858,1969,2.2724,5.1004000000000005,4.5235,2.0337,12.9811,0.7832,1.0015,,1.6672,,,,478.04107683495596,53155000.0,Italy,5922142.0,15848360.0,2.6761
356.0804,48.0,815.2187,1005.2907,993.6724,1011.54816,947.11945,29.183887,-4.909248,1394.8616,1970,2.3412,4.7327,4.6344,2.0482,12.8052,0.8295,1.3535,,1.7548,,,,512.943925233645,53519000.0,Italy,5863821.0,16153080.0,2.7547
406.0936,51.0,814.87854,1005.41516,993.5833,1009.8602,951.60925,27.853357,-7.866385,1428.3867,1971,2.556,5.0967,4.8484,1.9375,13.7224,1.1021,1.3067,,2.0157000000000003,,,,691.061928293555,53889000.0,Italy,5515115.0,16341770.0,2.9631000000000003
487.41586,58.0,814.999,1008.9625,990.54614,1010.3979,952.9604,27.546415,-2.294732,1550.0028,1972,2.4330000000000003,4.0961,5.3204,2.0161,15.2037,1.2195,0.9959,,2.0483,,,,743.4025338017669,54259000.0,Italy,5335821.0,15616689.0,2.9268
372.22598,45.0,819.80505,1004.2816,999.7212,1014.9953,953.4975,29.273663,-5.3171935,1326.3868,1973,2.4543,5.4098000000000015,5.6101,2.8552,15.8623,1.4521000000000002,1.0583,,2.2143,,,,799.7049956933681,54619000.0,Italy,5278781.0,15746610.0,2.983
395.8837,48.0,817.94366,1008.0068,992.5397,1012.0356,952.8102,27.986668,-1.80138,1436.2196,1974,2.5797000000000003,5.4675,5.594600000000002,2.6692,15.6994,1.4758,1.0971,,2.4681,,,,837.645670136281,54958000.0,Italy,5270970.0,16640396.0,3.157
347.00708,40.0,819.1699,1004.4473,997.2301,1013.1949,953.04803,28.901854,-3.992616,1389.7905,1975,2.6746000000000003,5.695,5.8627,2.7222,16.2315,1.4626,1.1722,,2.5711,,,,878.171489817792,55265000.0,Italy,5124766.0,16921900.0,3.302
