Precip_amount,Precip_days,Pressure_mean,Sweden_pressure,Ireland_pressure,Portugal_pressure,Greece_pressure,Temperature_max,Temperature_min,Temperature_SAT,Year,Wheat (tonnes per hectare),Rice (tonnes per hectare),Maize (tonnes per hectare),Soybeans (tonnes per hectare),Potatoes (tonnes per hectare),Beans (tonnes per hectare),Peas (tonnes per hectare),Cassava (tonnes per hectare),Barley (tonnes per hectare),Cocoa beans (tonnes per hectare),Bananas (tonnes per hectare),Nitrogen fertilizer use (kilograms per hectare),Tractors per 100 sq km arable land,Total population (Gapminder),Entity,Land used for cereal (hectares),Cereal production (tonnes),Cereal yield (tonnes per hectare)
360.0838,76.0,991.86554,1002.4617,995.2163,1013.98834,949.8531,24.407875,-10.78324,972.7157,1961,3.9251,,3.8984,,28.0396,2.0369,3.5884,,3.7541,,,,625.0,11606000.0,Netherlands,521762.0,1926025.0,3.6914
304.16254,74.0,991.54156,1003.0416,997.2544,1012.5315,947.95013,24.734243,-9.040615,615.3768,1962,4.5475,,3.8052,,30.497,2.3616,4.2827,,4.2987,,,,724.63768115942,11767000.0,Netherlands,509284.0,2178426.0,4.2774
264.9,57.0,991.1896,1009.54596,993.7461,1009.40594,946.6434,24.166985,-18.09486,808.23517,1963,4.1962,,4.2619,,28.7836,2.2453000000000003,3.6422,,3.8264,,,,821.917808219178,11928000.0,Netherlands,488375.0,1947084.0,3.9869
247.98102,56.0,993.79254,1008.3442,996.3119,1011.7181,950.0857,28.972569,-10.798939,989.77814,1964,4.7064,,4.0,,32.9901,2.5452,3.5393000000000003,,4.315,,,,917.8228388473849,12089000.0,Netherlands,481317.0,2115764.0,4.3958
386.2983,79.0,990.51843,1004.8914,996.1179,1012.11725,947.29913,23.572124,-10.302626,756.73474,1965,4.4429,,4.1667000000000005,,25.8898,1.9332,2.7712000000000003,,3.781,,,,1012.93103448276,12248000.0,Netherlands,484309.0,1779071.0,3.6734
423.34073,77.0,988.9887,1007.2666,990.89276,1011.4218,947.2702,27.590727,-14.249274,1004.97845,1966,4.0447000000000015,,4.0,,31.559700000000007,2.0307,2.4386,,3.4706,,,,1137.1237458194,12404000.0,Netherlands,462031.0,1623393.0,3.5136000000000003
299.24918,72.0,991.4725,1002.9518,995.5236,1013.3896,949.63763,25.008156,-11.570392,806.1435,1967,4.7906,,3.7915,,35.0287,3.1058000000000003,4.1791,,4.157,,,,1264.60481099656,12557000.0,Netherlands,437597.0,1840765.0,4.2065
323.82404,75.0,990.3985,1002.37256,995.3695,1011.64386,948.65576,25.711172,-17.858267,919.10547,1968,4.4234,,3.7037,,34.370000000000005,1.9736,3.2350000000000003,,3.6379,,,,1373.84259259259,12707000.0,Netherlands,419849.0,1653767.0,3.9389999999999996
329.3246,71.0,988.4867,1009.1595,992.91064,1009.1842,947.13306,27.085365,-15.335474,849.0926,1969,4.3578,,4.0,,32.3716,2.2193,3.3285,,3.9198,,,,1502.95857988166,12855000.0,Netherlands,406193.0,1617120.0,3.9812
331.6363,77.0,987.66943,1005.2907,993.6724,1011.54816,947.11945,27.51754,-13.036257,915.5877,1970,4.5457,,4.1068,,35.6492,2.8291,3.0306,,3.1947,,,,1641.9053398058302,13002000.0,Netherlands,361706.0,1363046.0,3.7684
305.5927,64.0,989.1821,1005.41516,993.5833,1009.8602,951.60925,24.600058,-15.225867,845.97485,1971,4.9687,,4.8802,,37.3125,2.5076,3.3918000000000004,,3.7924,,,,1818.18181818182,13148000.0,Netherlands,349841.0,1511483.0,4.3205
305.9324,68.0,988.5012,1008.9625,990.54614,1010.3979,952.9604,23.96754,-13.121844,745.55597,1972,4.3111000000000015,,3.3333000000000004,,37.4883,1.0373,2.2762,,4.0944,,,,1888.8888888888898,13292000.0,Netherlands,331160.0,1318841.0,3.9825
