Precip_amount,Precip_days,Pressure_mean,Sweden_pressure,Ireland_pressure,Portugal_pressure,Greece_pressure,Temperature_max,Temperature_min,Temperature_SAT,Year,Wheat (tonnes per hectare),Rice (tonnes per hectare),Maize (tonnes per hectare),Soybeans (tonnes per hectare),Potatoes (tonnes per hectare),Beans (tonnes per hectare),Peas (tonnes per hectare),Cassava (tonnes per hectare),Barley (tonnes per hectare),Cocoa beans (tonnes per hectare),Bananas (tonnes per hectare),Nitrogen fertilizer use (kilograms per hectare),Tractors per 100 sq km arable land,Total population (Gapminder),Entity,Land used for cereal (hectares),Cereal production (tonnes),Cereal yield (tonnes per hectare)
249.1514,59.0,1014.1542,1002.4617,995.2163,1013.98834,949.8531,30.424065,-20.199247,963.8598,1961,1.9929,,2.7731000000000003,,16.034000000000002,1.2857,1.0189,,1.9691,,,,44.8927496236829,30016000.0,Poland,9045900.0,16123000.0,1.7824
322.5271,70.0,1012.5501,1003.0416,997.2544,1012.5315,947.95013,28.93228,-17.141537,778.80176,1962,1.9383,,2.1591,,12.9951,1.1875,1.1667,,1.9834,,,,52.65083075368,30389000.0,Poland,8777800.0,14045000.0,1.6001
180.85951,46.0,1014.7197,1009.54596,993.7461,1009.40594,946.6434,31.60627,-27.89228,994.851,1963,1.989,,2.1212,,15.7986,1.1739000000000002,0.9846,,1.976,,,,61.031589652323106,30736000.0,Poland,8838100.0,15178000.0,1.7173
195.21425,48.0,1017.0867,1008.3442,996.3119,1011.7181,950.0857,31.983538,-19.731096,987.0422,1964,1.8719999999999999,,2.4324,,16.9141,1.1481,0.9697,,1.7008,,,,68.0141392268008,31059000.0,Poland,8767700.0,14092000.0,1.6073000000000002
287.7121,68.0,1012.2777,1004.8914,996.1179,1012.11725,947.29913,30.098654,-21.642204,657.95636,1965,2.0639000000000003,,2.029,,15.4293,1.3889,1.3824,,2.0988,,,,84.86104813111359,31361000.0,Poland,8505800.0,16162000.0,1.9001
301.6345,64.0,1012.35034,1007.2666,990.89276,1011.4218,947.2702,28.806797,-17.519295,976.9491,1966,2.1501,,2.3214,,16.8897,1.4634,1.1899,,2.0619,,,,88.5520860326509,31641000.0,Poland,8380900.0,15795100.0,1.8847
338.18134,70.0,1013.57465,1002.9518,995.5236,1013.3896,949.63763,29.324335,-17.587906,900.06177,1967,2.2404,,2.4138,,17.5885,1.5313,1.2969000000000002,,2.1629,,,,98.860767771892,31902000.0,Poland,8409200.0,16265600.0,1.9343
286.32867,68.0,1012.92255,1002.37256,995.3695,1011.64386,948.65576,31.722054,-20.472488,1032.2958,1968,2.4768000000000003,,2.4528000000000003,,18.488,1.3846,1.22,,2.3554,,,,111.93121519816602,32150000.0,Poland,8457800.0,17946200.0,2.1219
221.01683,49.0,1013.7859,1009.1595,992.91064,1009.1842,947.13306,29.70641,-21.72099,912.1654,1969,2.3969,,2.3404000000000003,,16.5299,1.4348,1.2083000000000002,,2.5667,,,,127.59732521186399,32393000.0,Poland,8669300.0,18574200.0,2.1425
297.9115,71.0,1011.0044,1005.2907,993.6724,1011.54816,947.11945,28.683119,-23.991816,856.7965,1970,2.3211,,2.3529,,18.4106,1.55,1.22,,2.3254,,,,148.814289501591,32639000.0,Poland,8346400.0,16262100.0,1.9484
245.08942,58.0,1012.6922,1005.41516,993.5833,1009.8602,951.60925,29.197792,-20.991085,953.93445,1971,2.6478,,2.6531,,14.9101,1.5417,1.2941,,2.7259,,,,165.812416555407,32890000.0,Poland,8452100.0,19870600.0,2.351
242.48555,54.0,1015.02625,1008.9625,990.54614,1010.3979,952.9604,29.101591,-21.702507,891.60425,1972,2.5135,,2.8571,,18.3492,1.4783000000000002,1.2766,,2.7039999999999997,,,,187.79372136890302,33147000.0,Poland,8484800.0,20402800.0,2.4046000000000003
233.22734,59.0,1015.3489,1004.2816,999.7212,1014.9953,953.4975,30.201488,-11.944766,830.72675,1973,2.9599,,3.7143,,19.3878,1.5789,1.3333000000000002,,2.9166000000000003,,,,215.678378378378,33412000.0,Poland,8246800.0,21859200.0,2.6506000000000003
240.27405,51.0,1014.2312,1008.0068,992.5397,1012.0356,952.8102,25.279867,-11.011404,734.448,1974,3.2007000000000003,,4.0426,,18.0777,1.3,1.5769,,3.1769000000000003,,,,247.062449200759,33686000.0,Poland,8088100.0,22977400.0,2.8409
213.1041,46.0,1014.5054,1004.4473,997.2301,1013.1949,953.04803,28.82563,-10.400254,866.7723,1975,2.8264,,5.3323,,17.9897,1.0963,1.3144,,2.7252,,,,271.44239226033403,33971000.0,Poland,7864106.0,19557653.0,2.487
