Precip_amount,Precip_days,Pressure_mean,Sweden_pressure,Ireland_pressure,Portugal_pressure,Greece_pressure,Temperature_max,Temperature_min,Temperature_SAT,Year,Wheat (tonnes per hectare),Rice (tonnes per hectare),Maize (tonnes per hectare),Soybeans (tonnes per hectare),Potatoes (tonnes per hectare),Beans (tonnes per hectare),Peas (tonnes per hectare),Cassava (tonnes per hectare),Barley (tonnes per hectare),Cocoa beans (tonnes per hectare),Bananas (tonnes per hectare),Nitrogen fertilizer use (kilograms per hectare),Tractors per 100 sq km arable land,Total population (Gapminder),Entity,Land used for cereal (hectares),Cereal production (tonnes),Cereal yield (tonnes per hectare)
554.7737,75.0,1018.3402,1002.4617,995.2163,1013.98834,949.8531,23.060118,-10.971377,482.12744,1961,2.7134,,4.6734,,24.3,,,,3.1457,,,,1353.19363797021,5378000.0,Switzerland,180255.0,517800.0,2.8726000000000003
583.4048,71.0,1016.9646,1003.0416,997.2544,1012.5315,947.95013,23.816706,-17.443651,375.62115,1962,3.8648,,4.5246,,23.0,,,,3.5348,,,,1400.5531807895402,5487000.0,Switzerland,184650.0,697400.0,3.7769
555.87006,74.0,1014.5954,1009.54596,993.7461,1009.40594,946.6434,23.56467,-22.892096,400.89465,1963,2.8725,,4.8967,,26.5,,,,2.9664,,,,1490.07476153648,5602000.0,Switzerland,175300.0,514700.0,2.9361
487.94916,66.0,1018.1109,1008.3442,996.3119,1011.7181,950.0857,22.865807,-12.71437,535.6205,1964,3.6435,,4.9201000000000015,,26.8,,,,3.5043,,,,1560.70870244919,5713000.0,Switzerland,174285.0,632200.0,3.6274
706.7677,90.0,1016.063,1004.8914,996.1179,1012.11725,947.29913,25.168385,-17.598742,393.98642,1965,3.2267,,4.2241,,23.1003,,,,3.0817,,,,1645.7241196717002,5813000.0,Switzerland,173683.0,557900.0,3.2122
695.9084,77.0,1015.5121,1007.2666,990.89276,1011.4218,947.2702,22.709581,-20.296347,473.0976,1966,3.2281,,4.9376000000000015,,26.9,,,,3.3333000000000004,,,,1741.23989218329,5899000.0,Switzerland,171400.0,566600.0,3.3057000000000003
689.00244,71.0,1018.8171,1002.9518,995.5236,1013.3896,949.63763,23.934967,-17.334131,375.7228,1967,4.0257000000000005,,5.7158000000000015,,29.6,,,,3.7517,,,,1843.69840396258,5974000.0,Switzerland,168900.0,672800.0,3.9834
718.93,83.0,1016.49133,1002.37256,995.3695,1011.64386,948.65576,24.141315,-20.183052,427.55725,1968,3.8521,,5.5052,,30.0,,,,3.707,,,,1929.3855991103699,6038000.0,Switzerland,169410.0,652600.0,3.8522
693.6006,79.0,1013.75757,1009.1595,992.91064,1009.1842,947.13306,22.67515,-17.093472,383.86032,1969,3.526,,5.6969,,30.1002,,,,3.6041,,,,1997.47222222222,6096000.0,Switzerland,175385.0,640400.0,3.6514
912.89575,98.0,1013.7455,1005.2907,993.6724,1011.54816,947.11945,22.103474,-15.936228,400.41843,1970,3.5664,,5.8665,,31.5,,,,3.4704,,,,2082.04551840405,6151000.0,Switzerland,171620.0,633700.0,3.6925
588.63416,72.0,1014.1972,1005.41516,993.5833,1009.8602,951.60925,21.600418,-21.416887,435.40378,1971,3.9819,,6.6105,,37.7,,,,4.2488,,,,2137.85374054357,6203000.0,Switzerland,173480.0,743000.0,4.2829000000000015
591.9947,76.0,1013.7327,1008.9625,990.54614,1010.3979,952.9604,20.780718,-12.974313,307.99637,1972,4.2021000000000015,,3.6474,,31.700000000000006,,,,4.0092,,,,2162.5344352617103,6251000.0,Switzerland,181000.0,738400.0,4.0796
550.0533,67.0,1018.76056,1004.2816,999.7212,1014.9953,953.4975,22.422094,-15.242693,419.0407,1973,3.7852,,6.8897,,36.4,,,,3.9515,,,,2224.36604189636,6293000.0,Switzerland,178550.0,749600.0,4.1983000000000015
595.47723,72.0,1014.8363,1008.0068,992.5397,1012.0356,952.8102,20.438862,-10.166946,360.01297,1974,4.6371,,5.7978000000000005,,38.7,,,,4.5645,,,,2268.7465790914102,6322000.0,Switzerland,179739.0,856800.0,4.7669000000000015
610.41077,71.0,1016.6833,1004.4473,997.2301,1013.1949,953.04803,21.558802,-11.90006,380.36404,1975,3.9593,,6.5395,,36.5846,,,,3.8548,,,,2306.26185958254,6337000.0,Switzerland,177804.0,756900.0,4.2569
335.67783,49.0,1018.1181,1006.5954,997.89526,1013.53094,953.31036,22.834429,-17.174612,515.77435,1976,4.3917,,6.1692,,31.4,,,,4.3218000000000005,,,,2362.65223274696,6336000.0,Switzerland,175600.0,795500.0,4.5302
846.42096,95.0,1015.1734,1004.80664,992.7925,1013.3432,953.5784,21.329222,-13.746286,346.20197,1977,3.6212,,6.479500000000002,,29.700000000000006,,,,3.8989999999999996,,,,2419.57285752906,6322000.0,Switzerland,172310.0,690000.0,4.0044
721.23175,89.0,1012.77136,1005.66125,992.19324,1012.4781,950.2295,20.04976,-15.594431,270.31934,1978,4.5892,,6.7524000000000015,,37.2,,,,4.6351,,,,2443.3786304289897,6302000.0,Switzerland,173410.0,835100.0,4.8158
683.77423,89.0,1014.4777,1004.79504,992.6287,1012.1418,951.2298,21.150778,-19.014488,376.91846,1979,4.9140000000000015,,7.5421,,36.3,,,,4.6505,,,,2491.37702308305,6287000.0,Switzerland,172300.0,875000.0,5.0784
618.1647,83.0,1015.86017,1009.18555,995.6324,1012.76917,947.1038,21.637604,-14.502933,267.6668,1980,4.3628,,6.471500000000002,,34.601,,,,4.5868,,,,2521.9627394384697,6284000.0,Switzerland,170665.0,789100.0,4.6237
611.3665,70.0,1017.5811,1004.3505,995.37085,1014.2222,952.87726,23.42952,-16.107006,461.45242,1981,4.703,,7.5081000000000016,,42.60160000000001,,,,4.5319,,,,2545.5018200728,6296000.0,Switzerland,174510.0,863500.0,4.9481
545.85986,65.0,1019.22217,1005.6915,995.5397,1013.7729,955.2457,21.026289,-14.837364,397.17682,1982,4.9157,,8.5326,,39.5021,,,,4.8859,,,,2563.64103882746,6321000.0,Switzerland,175930.0,928900.0,5.2799000000000005
669.612,81.0,1018.8064,1002.43835,995.5956,1014.69354,955.2337,22.49946,-14.651619,364.11026,1983,4.8924,,7.3024,,30.0,,5.0,,4.6884000000000015,,,,2572.87705956907,6357000.0,Switzerland,177400.0,899600.0,5.0710000000000015
610.2089,76.0,1016.1353,1007.24,996.6241,1012.39343,956.45844,20.588203,-15.143593,264.3579,1984,6.2623000000000015,,7.0329000000000015,,39.8017,,5.3,,5.9766,,,,2567.0974155069603,6396000.0,Switzerland,181440.0,1118200.0,6.1629000000000005
700.91925,82.0,1015.4422,1007.5648,994.49963,1010.9842,952.8194,19.958023,-23.968143,312.28482,1985,5.6688,,7.27,,38.7979,,4.3992,,5.3294000000000015,,,,2592.44444444444,6435000.0,Switzerland,184315.0,1054400.0,5.7206
822.6814,86.0,1015.0594,1006.8927,992.5509,1012.16394,956.5192,23.96413,-21.080957,456.38528,1986,5.098,,7.752000000000002,,36.5961,,4.1695,,4.2105000000000015,,,,2645.38480574115,6473000.0,Switzerland,188560.0,959900.0,5.0907
773.8569,83.0,1017.52936,1007.57605,997.23474,1012.3757,957.0141,23.376465,-24.037186,300.74304,1987,4.8457,,7.2686,,32.399,,3.8703,,4.724,,,,2728.86882367695,6511000.0,Switzerland,186190.0,939000.0,5.0432000000000015
794.8096,92.0,1015.0507,1004.4385,992.4452,1012.21936,956.3782,19.49395,-13.67407,395.30463,1988,6.0181,,9.8803,2.3471,41.0,,4.5797,,5.5141,,,,2752.3620089507695,6551000.0,Switzerland,196510.0,1243700.0,6.3289
517.8857,66.0,1020.21405,1002.0805,995.79956,1014.373,960.3367,21.147364,-9.948383,416.55627,1989,6.5735,,8.981,2.4529,38.5,,4.5652,,6.4636000000000005,,,,2755.7513460597197,6597000.0,Switzerland,208040.0,1410700.0,6.7809
656.958,74.0,1020.7562,999.9768,994.1642,1016.01807,960.9765,22.918922,-11.185569,440.16452,1990,5.6376,,8.510200000000001,2.4266,37.90170000000001,,4.1169,,5.7149,,,,2833.44067376765,6653000.0,Switzerland,211903.0,1268000.0,5.9839
508.48203,66.0,1018.60535,1007.10205,996.6308,1012.8688,958.7535,22.11982,-19.03539,321.55392,1991,5.947100000000002,,8.051,2.3437,39.8785,,4.0887,,5.8094,,,,2797.5460122699396,6719000.0,Switzerland,208670.0,1273639.0,6.1036
538.2449,63.0,1020.6536,1003.8452,999.2908,1014.53314,959.7145,20.816647,-15.380179,420.44162,1992,5.5114,,8.312999999999999,2.6335,42.2849,,3.8783,,5.8251,,,,2797.34055651317,6793000.0,Switzerland,201240.0,1182772.0,5.8774000000000015
473.70538,63.0,1020.7522,1004.3541,997.3948,1013.8106,959.64905,22.819939,-17.426168,531.7615,1993,5.9382,,8.905000000000003,2.2818,43.92610000000001,,3.4071,,5.9697000000000005,,,,2761.6491827274895,6869000.0,Switzerland,201800.0,1252968.0,6.2090000000000005
678.6305,79.0,1017.1578,1002.29987,991.89355,1013.57764,957.7238,23.220957,-14.0303,493.40958,1994,5.4925000000000015,,8.749,2.7575000000000003,33.1744,,3.8889,,5.1611,,,,2690.83969465649,6938000.0,Switzerland,208990.0,1213740.0,5.8076
879.8048,85.0,1017.63983,999.7837,994.54443,1013.8958,957.46313,22.27988,-17.654432,381.49472,1995,5.9798,,8.3614,2.775,35.2941,,4.1124,,5.3825,,,,2662.24538133586,6996000.0,Switzerland,205248.0,1245612.0,6.0688
400.0144,54.0,1015.8714,1011.5332,994.9042,1008.8066,957.3995,23.679518,-15.585449,499.65765,1996,6.6149,,8.5748,2.5723000000000003,48.72190000000001,,4.3176000000000005,,6.3232,,,,2661.15466856736,7038000.0,Switzerland,196438.0,1317471.0,6.7068
573.53296,64.0,1020.0796,1002.88885,997.08496,1012.7133,959.335,21.865211,-11.328682,442.30698,1997,5.9787,,9.2732,2.6472,45.9163,,4.0609,,6.3283000000000005,,,,2681.10709987966,7069000.0,Switzerland,186373.0,1194083.0,6.407
508.19284,61.0,1018.70575,1003.46533,994.5954,1013.1077,958.6379,25.174372,-12.974132,540.2703,1998,6.181100000000002,,9.113999999999999,2.6054,40.3371,,3.9303,,6.7265000000000015,,,,2680.86135978708,7092000.0,Switzerland,186867.0,1240975.0,6.641
910.63885,88.0,1017.1106,1002.9755,993.8801,1013.3009,957.3888,22.16988,-17.94934,465.4008,1999,5.2609,,8.885200000000003,3.3229,35.2256,,3.4328000000000003,,5.1223,,,,2683.87725280078,7115000.0,Switzerland,182256.0,1028481.0,5.6431
574.08203,71.0,1019.80896,1000.47534,997.2678,1014.19055,959.3322,23.86359,-16.311377,585.57166,2000,5.9477,,9.6519,3.9391,42.4362,,3.4884,,5.9924,,,,2681.01761252446,7144000.0,Switzerland,182671.0,1169500.0,6.4022000000000014
853.5425,89.0,1015.31934,1004.3864,993.10876,1011.8399,960.3995,23.967905,-14.381257,477.09158,2001,5.5116000000000005,,8.9441,3.0713000000000004,37.5698,,3.6252,,5.5924000000000005,,,,2662.43282852956,7179000.0,Switzerland,179576.0,1079600.0,6.011900000000002
634.7706,58.0,1018.7082,1002.067,992.08057,1013.55566,962.57086,26.880537,-14.3067045,558.25854,2002,5.6339999999999995,,9.2168,3.0243,39.0936,,3.8857,,6.3124,,,93.78,2654.91060494734,7220000.0,Switzerland,173482.0,1087700.0,6.2698
399.49762,52.0,1018.93036,1007.20886,995.8456,1012.77423,961.5541,26.739819,-17.982574,767.92206,2003,5.0550000000000015,,4.2989999999999995,2.3482000000000003,33.731,,3.5113000000000003,,5.5375000000000005,,,100.4,2649.9877119685398,7268000.0,Switzerland,166558.0,847200.0,5.0865
565.08203,70.0,1017.055,1004.50653,996.48395,1013.025,960.8993,23.671196,-15.371377,460.68304,2004,6.1177,,9.6142,2.8446,39.4976,,3.657,,6.8822,,,106.71,2642.06642066421,7324000.0,Switzerland,161753.0,1089000.0,6.7325
509.2312,62.0,1018.81335,1004.49176,998.4466,1013.941,743.3911,26.058561,-19.432096,597.9523,2005,5.7316,,9.6497,2.635,38.74500000000001,,3.715,,6.1344,,,124.01,2634.17035942885,7387000.0,Switzerland,167689.0,1056500.0,6.3004000000000016
